name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_reviews,reviews_per_month,host_listings_count,availability_365,number_of_reviews_ltm,has_license
Only 2 stops to Manhattan studio,Allen & Irina,Brooklyn,Williamsburg,40.70935,-73.95342,Entire home/apt,96.0,30,194,1.01,1,173,3,0
Uptown Sanctuary w/ Private Bath (Month to Month),Kahshanna,Manhattan,East Harlem,40.80107,-73.94255,Private room,59.0,30,1,0.03,2,83,0,0
UES Beautiful Blue Room,Cyn,Manhattan,East Harlem,40.78778,-73.94759,Private room,67.0,30,251,1.34,1,264,5,0
"Perfect for Your Parents, With Garden & Patio",Jane,Brooklyn,Fort Greene,40.69194,-73.97389,Private room,195.0,2,398,2.16,2,190,36,1
Sunny Williamsburg Loft with Sauna,Chaya,Brooklyn,Williamsburg,40.71880722045898,-73.9561767578125,Entire home/apt,290.0,30,13,0.07,1,0,1,0
"Maison des Sirenes1,bohemian, luminous apartment",Nathalie,Brooklyn,Bedford-Stuyvesant,40.68455584344908,-73.93963415175676,Entire home/apt,216.0,30,190,1.01,2,150,0,0
Midtown Pied-a-terre,Tommi Laurelle,Manhattan,Hell's Kitchen,40.76724,-73.98664,Entire home/apt,175.0,30,58,0.31,1,0,0,0
Radiant Oasis  B&B Style room,Angela,Brooklyn,Bedford-Stuyvesant,40.68294,-73.95682,Private room,90.0,30,81,0.45,6,137,1,0
Charming Brownstone 3 - Near PRATT,Adreinne,Brooklyn,Bedford-Stuyvesant,40.67946,-73.95417,Entire home/apt,110.0,30,80,0.43,1,110,5,0
Greenpoint Place...Has It All!,Jeanne,Brooklyn,Greenpoint,40.73535,-73.95584,Entire home/apt,115.0,30,179,0.97,1,303,2,0
* Lovely Nolita 1Bdrm w Elevator and 24hr Doorman*,Ted,Manhattan,Lower East Side,40.721359,-73.993668,Entire home/apt,169.0,30,40,0.29,1,90,3,0
"Very, very cozy place",Maria C,Brooklyn,Williamsburg,40.71211,-73.96397,Private room,97.0,30,60,0.33,1,206,3,0
"Sunny, Modern room in East Village w City Views",Reka,Manhattan,East Village,40.72372723229208,-73.97625850509617,Private room,109.0,1,620,4.42,2,118,68,1
Charming Room in Amazing East Village Apt. (B),Casey,Manhattan,East Village,40.72281,-73.98501,Private room,136.0,1,244,1.6,2,50,56,1
SpaHa Loft: Enormous and Bright,Robin,Manhattan,East Harlem,40.8019,-73.93762,Entire home/apt,300.0,30,291,1.58,1,57,0,0
Lovely EV Artist's Home,Anna,Manhattan,East Village,40.72289,-73.98028,Entire home/apt,230.0,30,54,0.3,1,177,1,0
Manhattan Room,Victoria,Manhattan,Upper East Side,40.76967,-73.94831,Private room,70.0,30,147,0.9,1,354,0,0
Beautiful Meatpacking District Loft,DAVID And RICK,Manhattan,Chelsea,40.74261,-74.00353,Private room,150.0,30,250,1.47,1,263,4,0
One bedroom Duplex Private Terrace West Village,Alexis,Manhattan,West Village,40.73917,-74.00207,Entire home/apt,200.0,90,68,0.38,1,300,1,0
"Sunny, Spacious Top Floor Haven",Djassi,Brooklyn,Flatbush,40.65437,-73.96278,Private room,94.0,30,16,0.09,1,88,0,0
COZY QUIET monthly room 4 DOOGLERS!,Olan,Manhattan,Chelsea,40.74187,-74.00223,Private room,85.0,30,36,0.2,2,364,0,0
@HouseOnHenrySt Private 1 bedroom with shared use,Annette,Brooklyn,Carroll Gardens,40.67747,-74.00146,Private room,150.0,30,318,1.77,4,365,1,0
Upper Upper West Side Garden Apartment Townhouse,Karen,Manhattan,Harlem,40.82825,-73.95138,Entire home/apt,200.0,30,215,1.18,1,358,0,0
Beautiful 3 bedroom & 3 bathroom Duplex Apartment,Brandon,Brooklyn,Park Slope,40.67115,-73.98026,Entire home/apt,200.0,30,93,0.52,1,274,2,0
Park Slope Green Guest House,Dani,Brooklyn,South Slope,40.6686,-73.98723,Entire home/apt,81.0,30,479,2.67,3,61,0,0
East Village Sanctuary,Jen,Manhattan,East Village,40.72421,-73.98509,Entire home/apt,100.0,30,25,0.14,1,0,0,0
Garden studio in the Upper East Sid,Lisa,Manhattan,Upper East Side,40.77827,-73.94669,Entire home/apt,150.0,30,19,0.11,1,365,0,0
Cozy Gorgeous Room,Angela,Brooklyn,Bedford-Stuyvesant,40.68288,-73.95646,Private room,90.0,30,75,0.42,6,292,2,0
"Comfortable, Sunny Room",Christopher,Brooklyn,Clinton Hill,40.68292,-73.96381,Private room,139.0,3,457,2.55,1,166,59,1
Entire apartment _Most central location!,Lara Nicole,Manhattan,Hell's Kitchen,40.7672,-73.98464,Entire home/apt,210.0,30,75,0.42,4,365,0,0
Room with En Suite Bathroom & Deck,Waldemar,Brooklyn,Clinton Hill,40.68818,-73.96383,Private room,122.0,2,601,3.37,2,242,36,1
Retreat in Williamsburg,Ming,Brooklyn,Williamsburg,40.71512,-73.95899,Entire home/apt,233.0,30,298,1.67,1,239,3,0
"Sunny Room, Historical Brooklyn Brownstone 30-days",Obed,Brooklyn,Fort Greene,40.69101,-73.97378,Private room,74.0,30,38,0.4,3,112,5,0
Charming Greenwich Village share,Susan,Manhattan,West Village,40.73814,-74.00811,Private room,98.0,31,13,0.11,1,305,1,0
Master Bedroom - Unbelievably RARE Penthouse Oasis,Nader,Manhattan,Chinatown,40.71681594848633,-73.98969268798828,Private room,220.0,5,81,0.68,1,241,16,1
Spacious & Sunny Safe Haven,Jane,Brooklyn,Fort Greene,40.69062,-73.97354,Private room,183.0,30,155,0.95,2,340,1,0
Your Haven in the Upper West Side,Orlando,Manhattan,Harlem,40.80592,-73.95172,Private room,58.0,30,31,0.25,1,210,3,0
"Wonderful Studio In Brooklyn, NY!!!",Yana,Brooklyn,Bensonhurst,40.61943,-73.99232,Entire home/apt,106.0,30,38,0.23,1,364,5,0
"Lovely Bdr in Harlem, Manhattan",Carmel,Manhattan,Harlem,40.81553,-73.95438,Private room,90.0,30,36,0.23,1,89,0,0
